time_s,pos_x,pos_y,pos_z,euler_x,euler_y,euler_z,dev_pos_x,dev_pos_y,dev_pos_z,joint_x,joint_y,joint_z,gimbal_x,gimbal_y,gimbal_z,step_dist_m,cumulative_dist_m,collision_event,collision_object,click_event,force_x,force_y,force_z,target_x,target_y,target_z,dist_to_target
0.0043,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.65,45.61,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0341,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.65,45.53,1.03,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0667,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.58,45.53,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1001,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.58,45.61,1.03,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1354,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.51,45.61,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1682,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.07,45.61,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2023,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.14,45.53,1.03,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2338,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.14,45.53,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2678,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.21,45.61,1.03,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3010,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.21,45.53,1.03,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3350,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.14,45.68,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3691,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,-0.07,45.61,1.03,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4005,-0.546670,2.208495,-0.725616,0.00,0.00,0.00,0.000000,-65.510710,-88.114200,0.00,15.41,-21.25,0.01,45.53,1.10,0.000000,0.000000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
