time_s,pos_x,pos_y,pos_z,euler_x,euler_y,euler_z,joint_x,joint_y,joint_z,gimbal_x,gimbal_y,gimbal_z,cumulative_dist_m
0.0000,-0.550920,2.198278,-0.674094,0.00,0.00,0.00,-1.44,15.71,-17.42,-0.58,45.68,24.91,0.000000
0.0106,-0.550920,2.198278,-0.674094,0.00,0.00,0.00,-1.44,15.71,-17.42,-0.58,45.68,24.91,0.000000
0.0280,-0.550704,2.198279,-0.674128,0.00,0.00,0.00,-1.41,15.71,-17.42,-0.43,45.68,24.91,0.000218
0.0441,-0.550704,2.198279,-0.674128,0.00,0.00,0.00,-1.41,15.71,-17.42,-0.29,45.61,24.91,0.000218
0.0605,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.21,45.61,24.91,0.000436
0.0782,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.21,45.61,24.91,0.000436
0.0950,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.29,45.68,24.84,0.000436
0.1095,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.29,45.68,24.84,0.000436
0.1254,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.51,45.68,24.91,0.000436
0.1449,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.58,45.61,24.91,0.000436
0.1594,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.73,45.53,24.84,0.000436
0.1764,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.80,45.68,24.91,0.000436
0.1920,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.87,45.61,24.91,0.000436
0.2106,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-0.87,45.61,24.91,0.000436
0.2256,-0.550489,2.198279,-0.674161,0.00,0.00,0.00,-1.39,15.71,-17.42,-1.02,45.53,24.84,0.000436
